meter_id,reading_timestamp,reading_value_kwh,reading_quality,meter_type,region_code,data_source
MTR-000000,2026-01-01 00:00:00,1.0343,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 00:30:00,1.3364,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 01:00:00,1.3028,SUSPECT,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 01:30:00,1.1796,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 02:00:00,1.2782,SUSPECT,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 02:30:00,1.09,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 03:00:00,0.9541,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 03:30:00,0.9358,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 04:00:00,1.0108,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 04:30:00,1.1401,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 05:00:00,1.1199,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 05:30:00,1.1265,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 06:00:00,1.0558,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 06:30:00,1.0316,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 07:00:00,3.4898,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 07:30:00,3.7975,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 08:00:00,4.9133,SUSPECT,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 08:30:00,4.5447,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 09:00:00,3.6425,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 09:30:00,4.5654,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 10:00:00,3.4361,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 10:30:00,4.1358,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 11:00:00,2.7873,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 11:30:00,3.4769,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 12:00:00,3.0661,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
MTR-000000,2026-01-01 12:30:00,3.1846,VALID,SMART_ELEC,NORTH,UTILITICS_METERING
